FullGeoName,Year,Travel status,Location,Reported cases,Legend,Notes
"CA, San Francisco",2025,All,06075,10,5 to 49,CA
"CA, San Joaquin",2025,All,06077,6,5 to 49,CA
"CA, San Mateo",2025,All,06081,10,5 to 49,CA
"CA, Santa Clara",2025,All,06085,6,5 to 49,CA
"CT, Capitol",2025,All,09110,5,5 to 49,CT
"CT, Greater Bridgeport",2025,All,09120,5,5 to 49,CT
"DC, Washington",2025,All,11001,8,5 to 49,"DC, District of Columbia"
"FL, Brevard",2025,All,12009,37,5 to 49,"FL, Brevard County"
"FL, Broward",2025,All,12011,19,5 to 49,"FL, Broward County"
"FL, Collier",2025,All,12021,7,5 to 49,"FL, Collier County"
"FL, Duval",2025,All,12031,5,5 to 49,"FL, Duval County"
"FL, Hillsborough",2025,All,12057,28,5 to 49,"FL, Hillsborough County"
"FL, Lee",2025,All,12071,17,5 to 49,"FL, Lee County"
"FL, Monroe",2025,All,12087,6,5 to 49,"FL, Monroe County"
"FL, Orange",2025,All,12095,11,5 to 49,"FL, Orange County"
"FL, Palm Beach",2025,All,12099,14,5 to 49,"FL, Palm Beach County"
"FL, Pinellas",2025,All,12103,8,5 to 49,"FL, Pinellas County"
"FL, Polk",2025,All,12105,5,5 to 49,"FL, Polk County"
"GA, Fulton",2025,All,13121,5,5 to 49,"GA, Fulton County"
"HI, Honolulu",2025,All,15003,14,5 to 49,"HI, Honolulu, City and County of"
"IL, Cook",2025,All,17031,19,5 to 49,"IL, Cook County"
"IL, Du Page",2025,All,17043,5,5 to 49,"IL, DuPage County"
"KY, Jefferson",2025,All,21111,6,5 to 49,"KY, Jefferson County"
"MD, Montgomery",2025,All,24031,5,5 to 49,"MD, Montgomery County"
"MA, Essex",2025,All,25009,5,5 to 49,"MA, Essex County"
"MA, Middlesex",2025,All,25017,8,5 to 49,"MA, Middlesex County"
"MA, Suffolk",2025,All,25025,10,5 to 49,"MA, Suffolk County"
"NV, Clark",2025,All,32003,7,5 to 49,"NV, Clark County"
"NY, Bronx",2025,All,36005,10,5 to 49,"NY, Bronx County"
"NY, Kings",2025,All,36047,15,5 to 49,"NY, Kings County"
"NY, Nassau",2025,All,36059,12,5 to 49,"NY, Nassau County"
"NY, New York",2025,All,36061,14,5 to 49,"NY, New York County"
"NY, Queens",2025,All,36081,23,5 to 49,"NY, Queens County"
